мне нравится,μου αρέσει
φυσικά,конечно
и так далее,και τα λοιπά
например,για παράδειγμα
итак,λοιπόν
кстати,παρεμπιπτόντως
потом,μετά
ποτέ,никогда
ή,или
αλλά,но
обычно,συνήθως
также,επίσης
я думаю,νομίζω
μετά,потом
γι’ αυτό,поэтому
σοβαρά,всерьёз
έπειτα,затем
αλήθεια,правда
για παράδειγμα,например
μερικές φορές,иногда
αν,если
επειδή,потому что
αρχικά,сначала
μου αρέσει,мне нравится
никогда,ποτέ
затем,έπειτα
если,αν
πρώτον,во-первых
άλλωστε,впрочем
συνήθως,обычно
επίσης,также
по-моему,κατά τη γνώμη μου
потому что,επειδή
впрочем,άλλωστε
λοιπόν,итак
в том числе,μεταξύ άλλων
и,και
δεύτερον,во-вторых
возможно,ίσως
παρεμπιπτόντως,кстати
τελικά,наконец
νομίζω,я думаю
но,αλλά
правда,αλήθεια
κατά τη γνώμη μου,по-моему
всерьёз,σοβαρά
конечно,φυσικά
во-первых,πρώτον
наконец,τελικά
μεταξύ άλλων,в том числе
поэтому,γι’ αυτό
сначала,αρχικά
και τα λοιπά,и так далее
во-вторых,δεύτερον
иногда,μερικές φορές
ίσως,возможно
или,ή
всегда,πάντα
πάντα,всегда
και,и