το πανεπιστήμιο,университет
σπουδάζω,учиться (в учебном заведении)
велосипед,το ποδήλατο
πίνω,пить
φεύγω,уходить / уезжать
πάω βόλτα,идти гулять
ψάχνω,искать
моя компания (друзья),η παρέα μου
το ταξίδι,поездка / путешествие
возвращаться,επιστρέφω
учиться (в учебном заведении),σπουδάζω
επιστρέφω,возвращаться
το ποδήλατο,велосипед
университет,το πανεπιστήμιο
приходить / приезжать,έρχομαι
автомобиль,το αυτοκίνητο
искать,ψάχνω
μένω,жить
жить,μένω
поездка / путешествие,το ταξίδι
η κύπρος,кипр
разговаривать,μιλάω
кипр,η κύπρος
το δώρο,подарок
пить,πίνω
уходить / уезжать,φεύγω
η παρέα μου,моя компания (друзья)
идти гулять,πάω βόλτα
έρχομαι,приходить / приезжать
το αυτοκίνητο,автомобиль
подарок,το δώρο
μιλάω,разговаривать