троллейбус проходит через центр,το τρόλεϊ περνάει από το κέντρο
είναι το ίδιο εισιτήριο,это тот же билет
πάω με το τρόλεϊ,я еду на троллейбусе
τρόλεϊ,троллейбус
μετακομίζω,пересаживаюсь
πόλη,город
μετρό,метро
με συγχωρείτε,извините
πόση ώρα κάνει,сколько времени занимает
κάθε πότε περνάει το τρόλεϊ,как часто проходит троллейбус
не проходит через центр,δεν περνάει από το κέντρο
сколько стоит,πόσο κάνει
ένα εισιτήριο για το τρόλεϊ,один билет на троллейбус
направо,δεξιά
αριστερά,налево
налево,αριστερά
следующий троллейбус,το επόμενο τρόλεϊ
это тот же билет,είναι το ίδιο εισιτήριο
το επόμενο τρόλεϊ,следующий троллейбус
μήπως έχετε εισιτήριο,у вас случайно есть билет
δεξιά,направо
метро,μετρό
трамвай,τραμ
центр,κέντρο
εισιτήριο,билет
прямо,ευθεία
куда идёт троллейбус,πού πάει το τρόλεϊ
выхожу (из транспорта),κατεβαίνω
πηγαίνω,иду / еду
киоск,περίπτερο
который час,τι ώρα είναι
город,πόλη
πάω στο κέντρο,я еду в центр
πόσο κάνει,сколько стоит
κατεβαίνω,выхожу (из транспорта)
δεν περνάει από το κέντρο,не проходит через центр
автобус,λεωφορείο
τραμ,трамвай
один билет на троллейбус,ένα εισιτήριο για το τρόλεϊ
когда уходит,πότε φεύγει
билет,εισιτήριο
στάση,остановка
ανεβαίνω,сажусь (в транспорт)
κέντρο,центр
πού πάει το τρόλεϊ,куда идёт троллейбус
троллейбус,τρόλεϊ
у вас случайно есть билет,μήπως έχετε εισιτήριο
λεωφορείο,автобус
το τρόλεϊ περνάει από το κέντρο,троллейбус проходит через центр
περίπτερο,киоск
иду в киоск,πάω στο περίπτερο
я еду в центр,πάω στο κέντρο
πάω στο περίπτερο,иду в киоск
остановка,στάση
τι ώρα είναι,который час
сажусь (в транспорт),ανεβαίνω
как часто проходит троллейбус,κάθε πότε περνάει το τρόλεϊ
сколько времени занимает,πόση ώρα κάνει
куда вы идёте,πού πάτε
ευθεία,прямо
пересаживаюсь,μετακομίζω
πού πάτε,куда вы идёте
иду / еду,πηγαίνω
πότε φεύγει,когда уходит
я еду на троллейбусе,πάω με το τρόλεϊ
извините,με συγχωρείτε