ρωτάω,спрашиваю
διψάω,хочу пить
τραγουδάω,пою
останавливаюсь,σταματάω
спрашиваю,ρωτάω
проезжаю/прохожу,περνάω
απαντάω,отвечаю
ξυπνάω,просыпаюсь
хочу есть,πεινάω
хочу пить,διψάω
разговариваю,μιλάω
просыпаюсь,ξυπνάω
σταματάω,останавливаюсь
предпочитаю,προτιμώ
начинаю/отправляюсь,ξεκινάω
иду пешком,περπατάω
ξεκινάω,начинаю/отправляюсь
περνάω,проезжаю/прохожу
помогаю,βοηθάω
люблю,αγαπάω
αγαπάω,люблю
περπατάω,иду пешком
отвечаю,απαντάω
βοηθάω,помогаю
προτιμώ,предпочитаю
пою,τραγουδάω
μιλάω,разговариваю
πεινάω,хочу есть