Что такое переменная в программировании?,Именованная область памяти для хранения данных
Что означает API?,Application Programming Interface - интерфейс программирования приложений
Что такое функция?,Блок кода который выполняет определенную задачу и может быть вызван по имени
Что означает CSS?,Cascading Style Sheets - каскадные таблицы стилей
Что такое массив?,Структура данных для хранения множества элементов одного типа
Что означает SQL?,Structured Query Language - язык структурированных запросов
Что такое цикл?,Конструкция которая позволяет многократно выполнять блок кода
Что такое алгоритм?,Последовательность действий для решения определенной задачи
Что означает HTTP?,HyperText Transfer Protocol - протокол передачи гипертекста
Что такое объект в ООП?,Экземпляр класса содержащий данные и методы для работы с ними
Что означает JSON?,JavaScript Object Notation - формат обмена данными
Что такое рекурсия?,Вызов функции самой себя
Что означает IDE?,Integrated Development Environment - интегрированная среда разработки
Что такое баг?,Ошибка в программном коде
Что означает URL?,Uniform Resource Locator - универсальный указатель ресурса
Что такое Git?,Система контроля версий для отслеживания изменений в коде
Что означает MVC?,Model-View-Controller - архитектурный шаблон
Что такое база данных?,Структурированная коллекция данных
Что означает CRUD?,Create Read Update Delete - основные операции с данными
Что такое framework?,Программная платформа упрощающая разработку приложений 